JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460348.34375,<12.3,,,Vis.,PEX,,99,,X35870BMI,Negative observation based on DSLR image,,,Z,,,,N Sco 2024,AAVSO,STD,,,,
2460349.32778,7.8,,,Vis.,PEX,,78,,X35870BMI,Visual estimate from unfiltered DSLR image (pre-discovery),,,Z,,,,N Sco 2024,AAVSO,STD,,,,
2460350.34375,7.3,,,Vis.,PEX,,71,78,X35870BMI,"""Discovery image, visual estimate from unfiltered DSLR image""",,,Z,,,,N Sco 2024,AAVSO,STD,,,,
2460350.35625,7.4,,,Vis.,PEX,,71,78,X35870BMI,,,,Z,,,,N Sco 2024,AAVSO,STD,,,,
2460350.888061,4.126,0.006,,I,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=14.723|CMAGINS=17.952|CREFMAG= 7.355|CREFERR= 0.008|KMAGINS=16.965|KREFMAG= 6.488|KREFERR= 0.007,0,1.424,Z,17.952,16.965,,PNV J17261813-3809354,VVS,STD,,,,
2460350.888166,4.083,0.006,,I,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=14.769|CMAGINS=18.042|CREFMAG= 7.355|CREFERR= 0.008|KMAGINS=16.995|KREFMAG= 6.488|KREFERR= 0.007,0,1.423,Z,18.042,16.995,,PNV J17261813-3809354,VVS,STD,,,,
2460350.888316,7.588,0.004,,V,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=14.650|CMAGINS=16.486|CREFMAG= 9.424|CREFERR= 0.005|KMAGINS=15.677|KREFMAG= 9.116|KREFERR= 0.004,0,1.422,Z,16.486,15.677,,PNV J17261813-3809354,VVS,STD,,,,
2460350.888420,7.601,0.004,,V,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=14.646|CMAGINS=16.469|CREFMAG= 9.424|CREFERR= 0.005|KMAGINS=15.670|KREFMAG= 9.116|KREFERR= 0.004,0,1.421,Z,16.469,15.670,,PNV J17261813-3809354,VVS,STD,,,,
2460350.888588,9.272,0.004,,B,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=15.450|CMAGINS=16.307|CREFMAG=10.129|CREFERR= 0.004|KMAGINS=15.722|KREFMAG=10.052|KREFERR= 0.004,0,1.420,Z,16.307,15.722,,PNV J17261813-3809354,VVS,STD,,,,
2460350.888762,9.279,0.004,,B,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=15.456|CMAGINS=16.306|CREFMAG=10.129|CREFERR= 0.004|KMAGINS=15.723|KREFMAG=10.052|KREFERR= 0.004,0,1.419,Z,16.306,15.723,,PNV J17261813-3809354,VVS,STD,,,,
